time;hr
1508653980;56
1508654100;53
1508654220;55
1508654340;56
1508654460;52
1508654580;51
1508654700;77
1508654820;48
1508654940;51
1508655060;49
1508655300;48
1508655420;48
1508655660;45
1508655780;55
1508656020;49
1508656140;54
1508656260;46
1508656380;57
1508656500;66
1508657100;61
1508657220;63
1508657580;54
1508657700;57
1508657820;57
1508657940;63
1508658060;56
1508658180;88
1508658300;62
1508658420;73
1508658540;81
1508658660;47
1508658780;63
1508658900;63
1508659020;81
1508659140;58
1508659260;47
1508659380;58
1508659500;51
1508659620;56
1508659740;65
1508659860;64
1508659980;58
1508660220;69
1508660340;61
1508660460;54
1508660580;54
1508660700;55
1508660820;52
1508660940;49
1508661060;54
1508661180;58
1508661300;55
1508661420;55
1508661540;56
1508661660;67
1508661780;61
1508661900;75
1508662020;93
1508662380;65
1508662500;72
1508662860;58
1508663100;81
1508663220;74
1508663340;84
1508663460;78
1508663580;65
1508663700;81
1508663820;74
1508664060;78
1508664180;65
1508664300;77
1508664420;78
1508664540;71
1508664660;62
1508717580;61
1508717700;58
1508717820;67
1508717940;59
1508718060;56
1508718180;75
1508718300;61
1508718420;48
1508718540;61
1508718660;65
1508718780;67
1508718900;64
1508719020;82
1508719260;67
1508719380;67
1508719500;66
1508719620;61
1508719860;63
1508719980;51
1508720100;62
1508720220;61
1508720340;52
1508720460;52
1508720580;56
1508720700;59
1508720820;51
1508720940;54
1508721180;59
1508721300;54
1508721420;57
1508721660;54
1508721780;52
1508721900;68
1508722020;58
1508722140;59
1508722260;65
1508722380;46
1508722500;61
1508722620;58
1508722740;74
1508722860;64
1508722980;62
1508723100;75
1508723220;56
1508723340;92
1508723460;66
1508723700;57
1508723820;53
1508723940;54
1508724060;59
1508724180;62
1508724300;57
1508724420;56
1508724540;58
1508724660;54
1508724780;58
1508724900;57
1508725020;51
1508725140;52
1508725260;66
1508725380;56
1508725500;56
1508725620;52
1508725860;54
1508725980;59
1508726100;59
1508726220;55
1508726340;74
1508726460;72
1508726580;52
1508726700;57
1508726820;52
1508726940;54
1508727060;63
1508727180;57
1508727300;65
1508727420;61
1508727540;54
1508727660;58
1508727780;48
1508727900;54
1508728020;48
1508728140;46
1508728260;66
1508728380;46
1508728500;67
1508728620;67
1508728740;63
1508728860;46
1508728980;68
1508729100;67
1508729220;58
1508729340;61
1508729460;61
1508729580;79
1508729700;74
1508729820;58
1508729940;56
1508730300;46
